simple-rss,167
rails_best_practices,166
metric_fu,165
pusher,165
aws-ses,164
ya2yaml,164
ckeditor,162
mogli,160
signature,159
tmail,159
ri_cal,159
typus,159
reek,158
mini_fb,157
thoughtbot-paperclip,157
guard,157
churn,156
vestal_versions,156
Saikuro,155
pdf-writer,155
sendgrid,154
contacts,151
jasmine,151
airbrake,150
javan-whenever,150
thoughtbot-shoulda,150
mimemagic,149
client_side_validations,148
em-http-request,148
resque_mailer,148
fancy-buttons,147
ssl_requirement,146
oauth-plugin,146
attr_required,144
high_voltage,144
happymapper,143
css_parser,142
ar-extensions,140
encryptor,140
rack-oauth2,139
cells,139
ci_reporter,138
thoughtbot-factory_girl,138
refinerycms-i18n,138
activeadmin,138
progressbar,136
net-http-persistent,136
RubyInline,135
acts_as_audited,135
refinerycms-generators,134
acl9,133
webmock,133
packet,131
rush,130
friendly_id_globalize3,130
tlsmail,130
god,130
session,129
log4r,128
lockfile,127
ts-delayed-delta,127
cloudfiles,127
systemu,126
vpim,125
validatable,125
render_inheritable,122
silent-postgres,122
transaction-simple,121
refinerycms-pages,120
refinerycms-images,120
populator,120
refinerycms-settings,120
refinerycms-core,120
rack-ssl-enforcer,120
refinerycms-dashboard,120
refinerycms-resources,120
heroku_san,120
refinerycms-base,120
net-http-digest_auth,119
webrobots,119
mimetype-fu,119
rack-contrib,118
ruport,118
refinerycms-authentication,118
attr_encrypted,117
SyslogLogger,117
nori,117
activerecord-import,117
ffaker,116
pony,115
bartt-ssl_requirement,114
filters_spam,114
therubyracer-heroku,113
parallel,113
moretea-awesome_nested_set,112
maruku,110
seo_meta,110
git,110
gchartrb,108
russian,108
rpx_now,107
exception_notification_rails3,107
bullet,107
refraction,107
roo,107
remarkable,106
yaml_db,106
decent_exposure,105
recurly,104
rb-fsevent,103
google-spreadsheet-ruby,103
redgreen,101
chargify_api_ares,101
inherited_views,101
guard-rspec,101
delayed_paperclip,101
aws,100
twiliolib,100
forgery,100
twitter-stream,100
image_science,100
linkedin,100
barby,100
seed-fu,99
remotipart,99
graticule,98
transitions,97
facebooker2,96
nested_form,96
workflow,96
remarkable_activerecord,96
compass-960-plugin,96
mustache,95
ruby-graphviz,95
backup,95
mash,95
refinerycms-inquiries,94
redcarpet,94
html5-boilerplate,93
foreman,93
simplecov,92
simplecov-html,92
flickraw,91
gettext,89
mutter,89
file-tail,89
heroku_backup_task,88
actionmailer-with-request,88
date_validator,88
steak,87
websolr-sunspot_rails,87
rspec-instafail,86
comma,86
unicode,86
resque-retry,85
http_connection,85
multipass,85
GeoRuby,84
locomotive_liquid,84
rest-graph,83
growl,83
autotest-growl,83
smurf,83
panda,82
locomotive_mongoid_acts_as_tree,82
locomotive_jammit-s3,82
custom_fields,82
composite_primary_keys,81
ansi,81
bunny,81
daemon-spawn,80
parallel_tests,80
grit,79
attribute_normalizer,79
zipruby,79
amqp,79
hiredis,79
jeweler,78
rr,78
turn,77
exifr,77
youtube-g,76
bushido,76
watchr,76
mongoid_slug,75
nested_set,75
zencoder,75
activerecord-tableless,74
locale,74
permalink_fu,74
apn_on_rails,73
couchrest,73
text,73
oink,72
authlogic-oid,72
texticle,71
gravatar_image_tag,71
rails_config,71
justinfrench-formtastic,70
stomp,70
feed-normalizer,70
fuubar,70
amazon-ec2,70
http_parser.rb,70
selenium-rc,70
mail_safe,70
rabl,70
logging,69
em-websocket,69
ambethia-recaptcha,69
vcr,69
rack-timeout,68
jsmin,68
prawn-format,68
handsoap,68
tabs_on_rails,68
default_value_for,68
tinder,67
vanity,67
ts-datetime-delta,67
rails-footnotes,67
flutie,66
facets,66
ghazel-daemons,65
fast_xs,65
chriseppstein-compass,65
http_accept_language,65
amazon-ecs,65
rails3_acts_as_paranoid,64
roxml,64
hodel_3000_compliant_logger,63
rails-settings,63
gruff,63
validates_email_format_of,63
uniform_notifier,63
jammit-s3,62
delorean,62
ym4r,62
