GemName,Usage (GS),Usage (NR),Downloads,% Usage (GS),% Usage (NR),% Downloads
cucumber,116,953,1036013,0.158038147,0.125891678,0.144262832
rspec,199,1785,1946910,0.271117166,0.235799207,0.271103501
mysql,110,1734,1723318,0.14986376,0.229062087,0.239968742
slim_scrooge,5,56,12473,0.006811989,0.007397622,0.001736841
alchemist,2,16,9472,0.002724796,0.002113606,0.001318958
authlogic,84,2189,484528,0.114441417,0.289167768,0.067469599
stringex,28,352,223880,0.038147139,0.046499339,0.031174863
acts_as_list,74,638,189529,0.100817439,0.084280053,0.026391551
princely,2,17,6615,0.002724796,0.002245707,0.000921126
cancan,210,1488,413488,0.286103542,0.19656539,0.057577415
fastercsv,138,2392,890987,0.188010899,0.315984148,0.124068239
campaign_monitor_party,1,24,7371,0.001362398,0.00317041,0.001026398
acts_as_tree,15,207,62256,0.020435967,0.027344782,0.008669029
money,34,536,152778,0.046321526,0.070805812,0.021274045
json,166,4222,2871033,0.226158038,0.557727873,0.399785864
google_currency,6,25,7212,0.008174387,0.00330251,0.001004257
backup,19,95,32875,0.025885559,0.012549538,0.004577781
pony,11,115,72926,0.014986376,0.015191546,0.010154806
mail,34,6386,3870102,0.046321526,0.843593131,0.538904315
delayed_job,163,2377,353409,0.222070845,0.314002642,0.049211529
daemons,52,3372,1571300,0.070844687,0.445442536,0.218800525
andand,12,188,83016,0.016348774,0.024834875,0.01155982
searchlogic,18,612,178318,0.024523161,0.080845443,0.024830441
validation_reflection,21,234,52816,0.028610354,0.030911493,0.007354527
activerecord-tableless,3,74,24269,0.004087193,0.009775429,0.003379412
inaction_mailer,2,6,4770,0.002724796,0.000792602,0.000664213
acts_as_commentable,12,177,36142,0.016348774,0.02338177,0.005032705
query_trace,2,12,11914,0.002724796,0.001585205,0.001659002
ruby-prof,51,289,178171,0.069482289,0.038177015,0.024809972
bullet,31,107,38909,0.042234332,0.014134742,0.005418004
annotate,81,240,115222,0.110354223,0.031704095,0.016044444
